"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","vor","overallRank","adp","aav","adpDiff","exp","ecrPosition","sdRank","ecrRank","risk"
"Jimmy Graham","TE","SEA",497236,1986-11-24,93.32,59.2,116.1,37.8578878835045,6,5.2925,3,12.9789166666667,75,57.452,15.9533333333333,17.548,6,5,1.4,64.9,6.06271313774637
"Calvin Pryor","DB","NYJ",2543469,1992-07-02,85.5,85.5,85.5,NA,2,3.76666666666667,1,12.5333333333333,76,NA,13.89,NA,2,NA,NA,NA,NA
"Landon Collins","DB","NYG",2552454,1994-01-10,85.4666666666667,22.52,137.56,75.642404333372,3,7.72916666666666,1,12.5,77,127.025,18.775,-50.025,1,NA,NA,NA,9.05878678364713
"Derrick Henry","RB","TEN",2556075,1994-07-17,98.24,72.768,115.012,21.3118256910504,28,1.3175,6,12.0433333333333,78,80.182,17.94,-2.182,0,36.1,6.2,94.7,4.76419840031314
"NaVorro Bowman","LB","SF",2508088,1988-05-28,93.0833333333333,23.95,151.55,83.0264767007088,4,5.14166666666667,1,11.5444444444444,79,94.965,25.76,-15.965,6,NA,NA,NA,8.54140605322052
"Kirk Cousins","QB","WAS",2532820,1988-08-19,241.65325,193.3226,285.9812,92.4640169900567,8,5.58087499999999,2,11.3605833333334,80,71.75,15.7633333333333,8.25,4,8.1,2.7,77.8,6.58356656189288
"Keenan Allen","WR","SD",2540154,1992-04-27,102.716666666667,30.815,164.985,75.9691201885491,28,1.43327380952381,3,11.0444246031746,81,32.99,75.845,48.01,3,NA,NA,NA,12.2172874701204
"Jeremy Hill","RB","CIN",2543603,1992-10-20,97.07,32.725,152.762,56.0128339885474,29,0.661874999999995,6,10.8733333333333,82,87.472,23.8066666666667,-5.47200000000001,2,47,7.2,132.1,6.79862763454101
"LeGarrette Blount","RB","NE",497149,1986-12-05,96.775,38.71,146.72,61.3348341075445,30,0.745000000000005,6,10.5783333333333,83,56.4833333333333,12.95,26.5166666666667,6,NA,NA,NA,9.17489834102858
"Demarcus Lawrence","DL","DAL",2543490,1992-04-02,60.575,54.115,67.035,11.4197745161627,3,3.14166666666666,2,10.3694444444444,84,NA,12.11,NA,2,NA,NA,NA,2.30339629817215
"Davante Adams","WR","GB",2543495,1992-12-24,101.986785714286,38.72,144.103428571429,52.5487056810156,29,2.2457142857143,3,10.3145436507937,85,58.908,11.1733333333333,26.092,2,19.4,4.8,41.6,6.49843028546771
"Duke Johnson","RB","CLE",2552461,1993-09-23,96.04125,75.28,120.108,37.6615813653317,31,1.410625,6,9.84458333333333,86,93.578,17.6366666666667,-7.578,1,42.7,6.2,119.3,5.60250981772177
"Thomas Rawls","RB","SEA",2553733,1993-08-03,96.01875,46.56,143.542,46.7379341214126,32,5.91000000000001,6,9.82208333333334,87,84.446,33.31,2.554,1,43.6,7.4,123.2,6.37410627169963
"DeVante Parker","WR","MIA",2552409,1993-01-20,100.58,80.36,125.96,39.0509868633304,30,2.80187500000001,4,8.90775793650793,88,88.024,17.4333333333333,-0.0240000000000009,1,37.4,6.3,87.4,5.91795479232707
"Jameis Winston","QB","TB",2552033,1994-01-06,238.34675,190.6774,279.42,90.6181717424132,9,5.04425000000001,3,8.05408333333335,89,74.394,18.5333333333333,14.606,1,9.4,2.8,85.4,6.59525475947883
"Zach Ertz","TE","PHI",2540158,1990-11-10,88.075,70.46,104.456,33.5764437515351,7,3.266875,3,7.73391666666667,90,84.64,12.8633333333333,5.36,3,9.5,2.5,96.8,6.12575902782141
"Kyle Rudolph","TE","MIN",2495438,1989-11-09,87.98,58.16,112.658,36.7845609597287,8,6.7615,3,7.63891666666667,91,78.176,7.30666666666667,12.824,5,7.6,1.8,84.6,6.12956979353013
"Alec Ogletree","LB","LAR",2540143,1991-09-25,89.0666666666667,25.82,136.3,77.265149539319,5,2.74166666666667,1,7.52777777777777,92,120.065,22.87,-28.065,3,NA,NA,NA,8.02421256499116
"Matt Bryant","K","ATL",2504797,1975-05-29,119.700939849624,28.82,159.653909774436,62.8185161315019,3,2.75298618458406,2,7.35042132127941,93,96.02,3.40333333333333,-3.02,14,3.7,2.7,180.7,4.86372447939107
"Carlos Dunlap","DL","CIN",496780,1989-02-28,57.4666666666667,16.8,87.52,49.8161954923631,4,2.26666666666667,2,7.26111111111111,94,175.1,19.525,-81.1,6,NA,NA,NA,8.54021417601014
"Donte Moncrief","WR","IND",2543614,1993-08-06,98.9021428571428,51.04,136.604,43.6119895867442,31,2.80839285714285,4,7.22990079365078,95,71.72,27.42,23.28,2,35,6.2,81.7,6.1858653864115
"Stephon Tuitt","DL","PIT",2543483,1993-05-23,57.4,54.68,60.12,4.80832611206852,5,4.48333333333333,3,7.19444444444444,96,170,7.105,-74,2,NA,NA,NA,1.22948371578285
"Theo Riddick","RB","DET",2540020,1991-05-04,93.2425,74.594,111.616,35.6929827662245,33,6.64750000000001,6,7.04583333333333,97,88.838,9.37333333333333,8.16200000000001,3,40.3,5.4,109.4,5.29742671108804
"Kwon Alexander","LB","TB",2552592,1994-08-03,86.8166666666667,22.52,140.8,77.2236416736049,6,1.05,2,5.27777777777777,98,113.7,17.295,-15.7,1,NA,NA,NA,8.02048641001744
"Nevin Lawson","DB","DET",2543872,1991-04-23,78,78,78,NA,4,0.762499999999989,2,5.03333333333333,99,NA,9.13,NA,2,NA,NA,NA,NA
"Marvin Jones","WR","DET",2532884,1990-03-12,96.6541071428571,75.1382857142857,120.792,38.7088442303795,32,1.38324404761904,4,4.98186507936508,100,95.05,15.39,4.95,4,50,5.8,127.3,5.80834444143855
"Dan Bailey","K","DAL",2495259,1988-01-26,117.24118705036,25.4625,242.369352517986,141.846852326588,4,1.32300523217791,3,4.89066852201508,101,96.296,4.20666666666667,4.70399999999999,5,4.4,1.6,180.5,5.4046130303265
"Cardinals","DST","ARI",100026,NA,166.9,53.2,136.96,46.5982065871945,1,4.39999999999998,1,4.83888888888887,102,102.236666666667,8.68333333333333,-0.236666666666665,46,6.5,3.4,161.2,7.30014139124886
"Jimmie Ward","DB","SF",2543741,1991-07-18,77.475,72.455,82.495,8.87419010389117,5,0.637500000000003,2,4.50833333333334,103,170,2.75,-67,2,NA,NA,NA,0.0250743679102667
"Graham Gano","K","CAR",71309,1987-04-09,116.65472027972,23.8175,257.387606837607,146.74969180938,5,2.3558273950384,3,4.30420175137563,104,105.0775,3.53,-1.0775,7,14.3,4.6,225.9,9.13336090639874
"Jerrell Freeman","LB","CHI",2514414,1986-05-01,85.8333333333333,25.34,129.98,74.3621095271869,7,1.60833333333333,2,4.29444444444444,105,147,11.065,-42,5,NA,NA,NA,7.76360709193173
"C.J. Mosley","LB","BAL",2543464,1992-06-19,85.7,25.2,130.08,74.2621707196874,8,3.68333333333334,2,4.16111111111111,106,114.235,22.035,-8.235,2,NA,NA,NA,7.75463559994522
"E.J. Gaines","DB","LAR",2543823,1992-02-23,77,77,77,NA,6,0.724999999999994,2,4.03333333333333,107,NA,6.93,NA,2,NA,NA,NA,NA
"Mike Wallace","WR","BAL",2507763,1986-08-01,95.5333928571429,72.64,114.825714285714,36.8429221038694,33,1.50422619047619,4,3.86115079365079,108,110.614,6.30666666666667,-2.614,7,45.4,6.1,113.3,5.74443950764889
"Ross Cockrell","DB","PIT",2543799,1991-08-06,76.675,74.815,78.535,3.28804653251745,7,2.16249999999999,2,3.70833333333333,109,170,3.79,-61,2,NA,NA,NA,-0.730728600900088
"Marcus Mariota","QB","TEN",2552466,1993-10-30,233.798,187.0384,277.2816,89.0696762147477,10,1.41787499999998,3,3.50533333333334,110,74.382,18.2766666666667,35.618,1,8.7,2.9,83,6.61532232786711
"DeSean Jackson","WR","WAS",1581,1986-12-01,95.0083333333333,38.0033333333333,142.66,58.0212191788487,34,2.35913690476191,4,3.33609126984128,111,57.5933333333333,22.52,53.4066666666667,8,NA,NA,NA,9.96997557082389
"Ricardo Allen","DB","ATL",2543850,1991-12-18,75.875,75.775,75.975,0.176776695296637,8,2.75,3,2.90833333333333,112,170,3.055,-58,2,NA,NA,NA,-1.15168215314889
"Mason Crosby","K","GB",2507232,1984-09-03,115.181643356643,28.2275,244.482564102564,134.414861960319,6,2.08332768533855,3,2.83112482829873,113,108.854,3.85333333333333,4.146,9,6,2.2,187.7,5.95176362849004
"Kony Ealy","DL","CAR",2543484,1991-12-21,53,53,53,NA,6,0.924999999999997,3,2.79444444444444,114,NA,11.05,NA,2,NA,NA,NA,NA
"Muhammad Wilkerson","DL","NYJ",2495490,1989-10-22,52.8333333333333,15.5,80.3,45.7884628845884,7,1.99166666666667,3,2.62777777777778,115,214.3,18.015,-99.3,5,NA,NA,NA,7.88598041940844
"Matthew Stafford","QB","DET",79860,1988-02-07,232.807,186.2456,280.9236,88.7687760194991,11,1.880875,3,2.51433333333335,116,87.564,14.8933333333333,28.436,7,13.1,3,105.4,6.67054736639643
"Derek Carr","QB","OAK",2543499,1991-03-28,231.95325,185.5626,276.1452,87.9972214216875,12,2.49087499999999,3,1.66058333333334,117,65.402,21.5166666666667,51.598,2,11.5,3,95.5,6.64880481331859
"Broncos","DST","DEN",100009,NA,163.45,67.9,127.15,41.7667773532528,2,2.08333333333331,1,1.38888888888889,118,77.8333333333333,11.8966666666667,40.1666666666667,46,1.9,1.6,145,4.18217792685734
"Jeremy Maclin","WR","KC",80429,1988-05-11,93.05,37.22,136.16,55.6326118387408,35,2.06663690476191,4,1.37775793650795,119,62.3266666666667,40.095,56.6733333333333,7,NA,NA,NA,9.67089069759719
"Tyler Eifert","TE","CIN",2540148,1990-09-08,81.63625,38,111.004,36.5360746172533,9,1.94275,3,1.29516666666667,120,79.405,17.85,40.595,3,6.6,1.7,75.7,6.06590347353219
"Bobby Wagner","LB","SEA",2532966,1990-06-27,82.75,22.32,131.64,72.7498969071435,9,1.81666666666666,2,1.21111111111111,121,108.545,19.565,12.455,4,NA,NA,NA,7.61887900318238
"Everson Griffen","DL","MIN",496790,1987-12-22,51.3166666666667,14.62,79.3,44.6101539263578,8,0.983333333333327,3,1.11111111111111,122,209.4,12.275,-87.4,6,NA,NA,NA,7.6945850187573
"Adam Vinatieri","K","IND",2503471,1972-12-28,113.41614241272,24.71,231.282737642586,129.985264522251,7,1.5984358265636,3,1.06562388437573,123,112.744,3.45333333333333,10.256,20,6.8,2.7,193.5,6.44935956273792
"Eddie Lacy","RB","GB",2540168,1990-06-02,86.975,24.64,150.62,65.7834468160494,34,1.16749999999999,6,0.778333333333322,124,30.4866666666667,69.3,93.5133333333333,3,NA,NA,NA,9.63109143644409
"Jamison Crowder","WR","WAS",2552415,1993-06-17,92.2483928571429,35.6,123.02,43.4064375188791,36,2.56002976190477,4,0.576150793650797,125,62.1025,7.37,62.8975,1,29.9,5.9,68.6,6.12008249198133
"Eric Ebron","TE","DET",2543466,1993-04-10,80.80075,64.6406,97.9984,31.0525041371465,10,4.05012500000002,4,0.459666666666678,126,104.37,8.18666666666667,21.63,2,11.6,2.4,109.8,5.85537115026446
"Matt Prater","K","DET",2506677,1984-08-10,112.780488929889,20.92125,239.208081180812,139.035546728934,8,2.37086771776808,3,0.429970401544651,127,119.01,2.84,7.99000000000001,10,9.6,3.4,208.7,7.50604792577308
"Morgan Burnett","DB","GB",496727,1989-01-13,73.15,20.9,112.86,63.5648684416164,9,0.275000000000006,3,0.183333333333337,128,142.2,11.055,-14.2,6,NA,NA,NA,7.4247010559404
"Jason Pierre-Paul","DL","NYG",496843,1989-02-28,50.3666666666667,14.32,77.92,43.7972982423954,9,0.241666666666667,3,0.161111111111111,129,122.7,12.74,6.3,6,NA,NA,NA,7.56255102358413
"Jeff Heath","DB","DAL",2541832,1991-05-14,73.1,73.1,73.1,NA,10,0.808333333333323,3,0.133333333333326,130,223,2.02,-93,3,NA,NA,NA,NA
